23/10/2023 20:17:40 - 0063:	 - train_loss: 0.995969:	 - test_loss: 0.998249:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.0000
23/10/2023 20:17:50 - 0064:	 - train_loss: 0.994931:	 - test_loss: 0.998249:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.0000
23/10/2023 20:18:01 - 0065:	 - train_loss: 0.995481:	 - test_loss: 0.998247:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.0000
23/10/2023 20:18:12 - 0066:	 - train_loss: 0.995433:	 - test_loss: 0.998239:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.0000
23/10/2023 20:18:22 - 0067:	 - train_loss: 0.995500:	 - test_loss: 0.996445:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.0000
23/10/2023 20:18:33 - 0068:	 - train_loss: 0.976215:	 - test_loss: 0.993824:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.0037
23/10/2023 20:19:14 - 0072:	 - train_loss: 0.922228:	 - test_loss: 0.904038:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.0724
23/10/2023 20:19:25 - 0073:	 - train_loss: 0.851739:	 - test_loss: 0.761562:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.2499
23/10/2023 20:19:46 - 0075:	 - train_loss: 0.826078:	 - test_loss: 0.736522:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.2605
23/10/2023 20:19:57 - 0076:	 - train_loss: 0.742525:	 - test_loss: 0.658618:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.3432
23/10/2023 20:20:07 - 0077:	 - train_loss: 0.676409:	 - test_loss: 0.587094:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.4213
23/10/2023 20:20:18 - 0078:	 - train_loss: 0.680855:	 - test_loss: 0.576438:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.4298
23/10/2023 20:20:39 - 0080:	 - train_loss: 0.625974:	 - test_loss: 0.538033:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.4702
23/10/2023 20:20:49 - 0081:	 - train_loss: 0.578820:	 - test_loss: 0.534475:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.4722
23/10/2023 20:21:00 - 0082:	 - train_loss: 0.585653:	 - test_loss: 0.495969:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.5038
23/10/2023 20:21:10 - 0083:	 - train_loss: 0.523947:	 - test_loss: 0.486430:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.5204
23/10/2023 20:21:21 - 0084:	 - train_loss: 0.527333:	 - test_loss: 0.463304:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.5507
23/10/2023 20:21:31 - 0085:	 - train_loss: 0.516258:	 - test_loss: 0.447896:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.5604
23/10/2023 20:22:03 - 0088:	 - train_loss: 0.475970:	 - test_loss: 0.436832:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.5693
23/10/2023 20:22:34 - 0091:	 - train_loss: 0.428564:	 - test_loss: 0.372688:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.6337
23/10/2023 20:25:23 - 0107:	 - train_loss: 0.365676:	 - test_loss: 0.368832:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.6366
23/10/2023 20:25:33 - 0108:	 - train_loss: 0.359114:	 - test_loss: 0.350430:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.6534
23/10/2023 20:26:05 - 0111:	 - train_loss: 0.325757:	 - test_loss: 0.337808:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.6659
23/10/2023 20:26:57 - 0116:	 - train_loss: 0.337508:	 - test_loss: 0.328829:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.6754
23/10/2023 20:28:53 - 0127:	 - train_loss: 0.318113:	 - test_loss: 0.329386:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.6769
23/10/2023 20:29:45 - 0132:	 - train_loss: 0.320815:	 - test_loss: 0.314455:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.6866
23/10/2023 20:29:56 - 0133:	 - train_loss: 0.285454:	 - test_loss: 0.306607:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.6969
23/10/2023 20:34:18 - 0158:	 - train_loss: 0.286990:	 - test_loss: 0.303704:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.6990
23/10/2023 20:35:42 - 0166:	 - train_loss: 0.309020:	 - test_loss: 0.302683:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.7005
23/10/2023 20:37:59 - 0179:	 - train_loss: 0.284378:	 - test_loss: 0.294358:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.7092
23/10/2023 20:38:41 - 0183:	 - train_loss: 0.286170:	 - test_loss: 0.288236:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.7131
23/10/2023 20:38:51 - 0184:	 - train_loss: 0.267074:	 - test_loss: 0.290139:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.7141
23/10/2023 20:42:42 - 0206:	 - train_loss: 0.269126:	 - test_loss: 0.287775:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.7143
23/10/2023 20:45:19 - 0221:	 - train_loss: 0.258800:	 - test_loss: 0.287233:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.7146
23/10/2023 20:49:00 - 0242:	 - train_loss: 0.240599:	 - test_loss: 0.286094:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.7175
23/10/2023 20:50:45 - 0252:	 - train_loss: 0.252490:	 - test_loss: 0.286105:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.7175
23/10/2023 20:52:30 - 0262:	 - train_loss: 0.251632:	 - test_loss: 0.280289:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.7202
23/10/2023 20:55:18 - 0278:	 - train_loss: 0.242577:	 - test_loss: 0.278562:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.7252
23/10/2023 20:58:06 - 0294:	 - train_loss: 0.260037:	 - test_loss: 0.277457:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.7264
23/10/2023 21:14:44 - 0389:	 - train_loss: 0.267229:	 - test_loss: 0.273619:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.7270
23/10/2023 21:17:21 - 0404:	 - train_loss: 0.252463:	 - test_loss: 0.271771:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.7305
23/10/2023 21:17:42 - 0406:	 - train_loss: 0.243151:	 - test_loss: 0.267868:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.7345
23/10/2023 21:18:56 - 0413:	 - train_loss: 0.235702:	 - test_loss: 0.268444:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.7351
23/10/2023 21:24:42 - 0446:	 - train_loss: 0.242859:	 - test_loss: 0.266742:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.7363
23/10/2023 21:27:30 - 0462:	 - train_loss: 0.243066:	 - test_loss: 0.262828:	  - PD: 0.000000:	 - FA: 0.000000:	 mIoU 0.7385
